#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Goal Rig,Dribb Riusciti,Ass,Pass Riusciti,Pass Chiave,Falli,Falli Subiti,Gialli,Rossi,Pall Rubati,Tackle,Clean Sheet,Parate
1,M. Thuram,Att,INT,191.5,19.7,0.7,8,8,642,7,23,14,0,1,1,88,12,8,12,0,0,7,8,3,0
2,M. Retegui,Att,ATA,182.1,17.0,1.0,8,7,545,8,28,11,2,2,2,88,10,12,7,1,0,4,4,2,0
3,C. Pulisic,Att,MIL,169.2,19.0,0.5,8,8,641,5,13,8,1,6,3,203,20,5,3,0,0,8,14,3,0
4,G. Di Lorenzo,Dif,NAP,154.0,17.0,0.5,8,8,720,2,5,2,0,4,0,333,13,15,9,1,0,21,20,5,0
5,K. Kvaratskhelia,Att,NAP,149.6,20.3,-0.7,8,8,602,4,27,10,1,10,2,137,14,8,15,1,0,8,9,5,0
6,A. Cambiaso,Dif,JUV,131.3,14.0,0.5,8,7,641,1,4,1,0,8,0,372,10,9,6,2,0,9,12,6,0
7,A. Buongiorno,Dif,NAP,128.6,17.5,0.0,7,7,630,1,5,2,0,0,0,314,3,3,9,1,0,12,14,5,0
8,Bremer,Dif,JUV,126.8,18.7,0.2,6,6,540,0,3,0,0,3,0,466,0,9,5,2,0,14,16,6,0
9,Y. Sommer,Por,INT,126.4,15.8,-0.2,8,8,720,0,0,0,0,0,0,230,0,0,0,0,0,0,0,3,24
10,D. Vasquez,Por,EMP,126.1,9.8,1.3,8,8,720,0,0,0,0,0,0,134,0,0,0,1,0,0,0,4,19
11,G. Strefezza,Att,COM,123.2,12.6,0.6,8,8,664,2,17,4,0,10,1,205,13,15,19,1,0,15,17,0,0
12,E. Ndicka,Dif,ROM,123.0,14.5,0.5,8,8,720,0,3,0,0,0,0,551,2,11,6,0,0,17,9,3,0
13,R. Leao,Att,MIL,122.1,19.0,-0.5,7,6,514,1,23,10,0,16,3,150,15,3,8,0,0,7,3,2,0
14,A. Rrahmani,Dif,NAP,121.8,14.0,0.5,8,8,720,0,6,0,0,0,1,445,2,3,3,1,0,7,7,5,0
15,D. Man,Att,PAR,120.4,14.4,-0.1,8,7,602,3,20,8,0,10,1,178,18,3,6,0,0,4,2,1,0
16,F. Anguissa,Cen,NAP,119.0,14.0,0.0,8,8,720,1,9,2,0,8,0,353,3,14,6,2,0,26,13,5,0
17,M. Maignan,Por,MIL,117.7,15.0,0.0,8,8,720,0,0,0,0,0,0,222,0,0,1,1,0,0,0,3,20
18,M. Viti,Dif,EMP,117.0,11.4,0.9,8,8,720,0,7,1,0,2,0,257,1,9,10,0,0,27,26,4,0
19,F. Gatti,Dif,JUV,116.7,14.0,0.5,6,6,518,0,5,2,0,4,0,372,1,4,8,0,0,11,7,5,0
20,H. Theo,Dif,MIL,115.8,18.3,-1.2,7,5,485,2,9,3,0,4,2,272,10,2,11,0,1,13,8,2,0
21,M. Zaccagni,Att,LAZ,115.3,16.3,-0.7,8,8,672,2,15,6,1,8,2,151,15,10,22,2,0,12,8,0,0
22,M. Svilar,Por,ROM,114.5,14.6,0.1,8,8,720,0,1,0,0,0,0,184,0,0,1,0,0,0,0,3,25
23,M. de Roon,Cen,ATA,113.8,14.0,0.0,8,8,720,1,1,1,0,0,0,432,5,15,4,3,0,22,22,2,0
24,Saul Coco,Dif,TOR,113.5,12.8,0.3,7,7,630,2,4,4,0,2,0,286,0,9,4,1,0,14,8,2,0
25,F. Acerbi,Dif,INT,113.3,17.2,-0.3,7,7,567,0,1,0,0,0,1,464,3,3,8,0,0,15,6,2,0
26,A. Bonny,Att,PAR,112.4,12.7,0.2,8,8,605,3,19,6,1,5,1,100,12,8,12,0,0,5,8,1,0
27,Ederson,Cen,ATA,112.1,15.2,-0.3,8,8,673,1,8,6,0,7,1,350,5,14,11,3,0,11,4,2,0
28,N. Paz,Cen,COM,112.1,14.1,0.6,7,5,507,1,21,8,0,12,2,184,13,8,7,0,0,13,9,0,0
29,S. Castro,Att,BOL,111.4,9.6,1.1,8,7,615,3,20,9,0,7,1,86,4,12,12,1,0,3,6,1,0
30,D. Vlahovic,Att,JUV,110.5,19.0,-1.5,8,8,668,5,33,11,3,1,0,67,3,8,4,0,0,1,1,6,0
31,B. Cristante,Cen,ROM,110.4,13.5,0.0,8,8,674,1,9,2,0,2,0,409,4,11,3,3,0,20,14,3,0
32,S. Esposito,Att,EMP,110.4,12.7,0.2,8,6,545,2,17,8,0,9,0,101,6,8,16,0,0,12,14,4,0
33,P. Cutrone,Att,COM,110.4,11.6,0.1,8,8,655,4,22,10,0,2,0,88,5,6,5,0,0,4,6,0,0
34,F. Thauvin,Att,UDI,108.8,12.4,0.4,6,6,456,3,10,6,0,13,1,108,7,3,8,0,0,7,5,1,0
35,Dodo,Dif,FIO,108.5,13.5,0.0,8,8,720,0,4,0,0,16,0,250,13,3,16,3,0,19,10,3,0
36,A. Bastoni,Dif,INT,107.9,18.2,-0.8,7,7,551,0,3,1,0,1,1,447,7,8,6,0,0,11,8,3,0
37,R. Freuler,Cen,BOL,107.7,13.5,0.0,8,8,720,0,0,0,0,1,1,457,14,8,6,1,0,16,21,1,0
38,B. Dia,Att,LAZ,105.7,16.2,-0.8,7,6,450,3,9,7,0,7,0,85,5,8,7,0,0,3,4,0,0
39,Adrian Bernabe,Cen,PAR,105.3,13.3,-0.2,8,8,709,0,12,0,0,7,0,396,15,6,18,1,0,17,18,1,0
40,N. Savona,Dif,JUV,105.3,6.8,1.3,7,5,442,1,4,3,0,3,0,281,5,2,5,2,0,10,10,3,0
41,A. Masina,Dif,TOR,105.2,10.2,0.7,8,7,688,0,1,0,0,2,2,441,2,7,3,1,0,11,13,2,0
42,Pablo Mari,Dif,MON,105.1,12.7,0.2,8,8,720,0,2,0,0,2,0,409,2,13,1,2,0,23,8,2,0
43,David de Gea,Por,FIO,104.9,13.9,0.4,5,5,450,0,0,0,0,0,0,104,0,0,1,0,0,0,0,2,19
44,F. Dimarco,Dif,INT,104.6,17.1,-1.4,8,8,662,1,19,4,0,2,1,271,19,4,5,1,0,4,5,3,0
