team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SSC Napoli,Napoli,2024/2025,Italy,12,6,6,0,8,5,3,2,0,2,2,1,1,2.17,2.5,1.83,1,3,4,1,19,9,10,28,16,12,11,8,5,4,6,4,57,49,68,120,108,134,7,3,4,3,2,1,3,1,2,8,4,4,60,38,22,16,10,6,49,50,48,116,69,47,60,37,23,56,32,24,137,69,68,8,4,4,5,4,1,3,0,3,4,2,2,6,2,4,2,2,0,1.5,1.33,1.67,2.33,2.67,2,1.58,1.83,1.33,0.75,0.83,0.67,1.08,1.33,0.83,0.67,0.67,0.67,0.42,0.67,0.17,11,9,6,2,0,0,6,5,4,1,0,0,5,4,2,1,0,0,1,3,6,10,12,12,0,1,2,5,6,6,1,2,4,5,6,6,92,75,50,17,0,0,100,83,67,17,0,0,83,67,33,17,0,0,8,25,50,83,100,100,0,17,33,83,100,100,17,33,67,83,100,100,8,5,0,5,3,0,3,2,0,67,42,0,83,50,0,50,33,0,67,83,50,3,58,50,67,25,33,17,25,17,33,67,67,67,8,3,5,67,50,83,6,3,3,50,50,50,2,1,1,17,17,17,33,33,33,50,33,67,17,33,0,5.00,6.33,3.67,1.33,1.67,1.00,57,42,42,42,33,25,17,17,1.28,1.54,1.02,1.13,0.99,1.28,25,2,1,2,1,2,1,3,2,5,1,1,0,1,3,0,0,1,2,17,0,33,17,17,17,8
Juventus FC,Juventus,2024/2025,Italy,12,7,5,0,6,3,3,6,4,2,0,0,0,2,1.86,2.2,6,6,1,6,21,7,14,28,12,16,9,12,3,4,6,8,51,70,38,155,209,113,9,5,4,3,2,1,3,2,1,7,4,3,63,43,20,24,17,7,61,61,61,126,78,48,61,35,26,65,43,22,134,72,62,11,5,6,5,2,3,6,3,3,5,3,2,5,3,2,2,1,1,1.67,1.71,1.6,2.33,1.71,3.2,1.75,1.29,2.4,0.58,0.43,0.8,1.33,1,1.8,0.92,0.71,1.2,0.42,0.29,0.6,9,8,5,2,1,1,5,4,2,1,0,0,4,4,3,1,1,1,3,4,7,10,11,11,2,3,5,6,7,7,1,1,2,4,4,4,75,67,42,17,8,8,71,57,29,14,0,0,80,80,60,20,20,20,25,33,58,83,92,92,29,43,71,86,100,100,20,20,40,80,80,80,7,5,2,4,2,1,3,3,1,58,42,17,57,29,14,60,60,20,50,43,60,0,75,71,80,25,29,20,25,29,20,58,57,60,10,6,4,83,86,80,5,3,2,42,43,40,2,1,1,17,14,20,42,43,40,42,43,40,17,14,20,5.25,6.14,4.00,2,2.43,1.40,83,75,57,57,42,33,25,17,1.30,1.36,1.24,0.82,0.67,1.01,42,0,4,3,3,3,2,0,1,5,1,1,0,3,0,1,0,0,1,50,57,40,0,0,0,17
AS Roma,Roma,2024/2025,Italy,12,6,6,0,3,3,0,4,0,4,5,3,2,1.08,1.5,0.67,12,9,16,12,14,17,-3,31,16,15,9,5,7,10,2,-5,77,60,108,63,77,54,4,2,2,7,3,4,3,1,2,4,2,2,45,26,19,22,9,13,60,62,58,132,73,59,64,36,28,68,37,31,137,71,66,5,2,3,8,3,5,-3,-1,-2,3,2,1,4,1,3,5,3,2,1.08,1.17,1,2.58,2.67,2.5,1.17,1.5,0.83,1.42,1.17,1.67,1.08,0.83,1.33,0.42,0.33,0.5,0.67,0.5,0.83,10,8,6,3,3,1,6,4,4,1,1,0,4,4,2,2,2,1,2,4,6,9,9,11,0,2,2,5,5,6,2,2,4,4,4,5,83,67,50,25,25,8,100,67,67,17,17,0,67,67,33,33,33,17,17,33,50,75,75,92,0,33,33,83,83,100,33,33,67,67,67,83,8,2,2,5,0,0,3,2,2,67,17,17,83,0,0,50,33,33,25,50,0,23,33,33,33,58,50,67,25,17,33,33,33,33,7,3,4,58,50,67,7,4,3,58,67,50,2,0,2,17,0,33,25,33,17,33,17,50,42,50,33,3.75,4.33,3.17,1.83,1.5,2.17,67,57,33,17,8,8,8,0,1.45,1.59,1.31,1.19,1.11,1.28,67,0,2,1,2,1,1,3,2,2,1,2,1,1,3,2,3,2,2,33,0,67,42,50,33,0
Cagliari Calcio,Cagliari,2024/2025,Italy,12,7,5,0,2,1,1,4,3,1,6,3,3,0.83,0.86,0.8,15,16,15,15,12,22,-10,34,21,13,7,5,14,8,-7,-3,90,90,90,49,45,56,1,1,0,6,3,3,6,4,2,4,3,1,72,49,23,27,9,18,46,47,44,118,83,35,45,32,13,73,51,22,164,100,64,5,3,2,10,6,4,-5,-3,-2,2,1,1,3,2,1,7,4,3,0.75,0.71,0.8,2.83,3,2.6,1,1,1,1.83,2,1.6,1.25,1.29,1.2,0.42,0.43,0.4,0.83,0.86,0.8,11,10,5,4,3,1,6,6,3,3,2,1,5,4,2,1,1,0,1,2,7,8,9,11,1,1,4,4,5,6,0,1,3,4,4,5,92,83,42,33,25,8,86,86,43,43,29,14,100,80,40,20,20,0,8,17,58,67,75,92,14,14,57,57,71,86,0,20,60,80,80,100,11,3,1,6,2,1,5,1,0,92,25,8,86,29,14,100,20,0,17,14,20,-5,8,14,0,50,43,60,50,57,40,33,43,20,3,2,1,25,29,20,7,4,3,58,57,60,3,2,1,25,29,20,17,14,20,25,29,20,58,57,60,6.00,7.00,4.60,2.25,1.29,3.60,83,83,67,50,50,25,25,25,1.18,1.36,0.88,1.41,1.34,1.53,58,1,0,0,2,2,1,0,3,3,1,3,1,4,2,3,4,2,2,33,43,20,50,43,60,17
Torino FC,Torino,2024/2025,Italy,12,5,7,0,4,2,2,2,1,1,6,2,4,1.17,1.4,1,11,13,11,11,15,18,-3,33,10,23,5,10,5,13,0,-3,72,90,63,60,90,48,3,2,1,6,2,4,4,2,2,4,1,3,44,11,33,32,11,21,49,47,50,97,45,52,50,21,29,47,24,23,138,63,75,6,1,5,9,3,6,-3,-2,-1,2,0,2,5,3,2,5,2,3,0.92,0.6,1.14,2.75,2,3.29,1.25,1,1.43,1.5,1,1.86,1.25,0.8,1.57,0.5,0.2,0.71,0.75,0.6,0.86,11,7,6,5,4,0,4,2,2,1,1,0,7,5,4,4,3,0,1,5,6,7,8,12,1,3,3,4,4,5,0,2,3,3,4,7,92,58,50,42,33,0,80,40,40,20,20,0,100,71,57,57,43,0,8,42,50,58,67,100,20,60,60,80,80,100,0,29,43,43,57,100,9,4,2,3,1,0,6,3,2,75,33,17,60,20,0,86,43,29,33,40,29,7,25,40,14,50,40,57,33,40,29,33,20,43,4,2,2,33,40,29,7,4,3,58,80,43,4,1,3,33,20,43,17,0,29,42,60,29,42,40,43,3.67,2.20,4.71,2.67,2.2,3.00,67,67,57,50,33,17,17,17,1.06,1.11,1.03,1.54,1.76,1.37,50,1,0,1,3,2,1,2,2,3,1,3,2,2,1,2,0,2,5,17,20,14,50,40,57,8
Empoli FC,Empoli,2024/2025,Italy,12,6,6,0,3,1,2,6,3,3,3,2,1,1.25,1,1.5,10,15,8,10,9,10,-1,19,5,14,1,8,4,6,-3,2,120,529,68,108,134,90,5,4,1,5,0,5,5,5,0,6,1,5,45,24,21,27,7,20,37,37,37,81,38,43,45,21,24,36,17,19,193,85,108,6,0,6,2,0,2,4,0,4,4,0,4,8,6,2,0,0,0,1.67,1,2.33,1.58,0.83,2.33,0.75,0.17,1.33,0.83,0.67,1,0.67,0,1.33,0.5,0,1,0.17,0,0.33,9,7,3,0,0,0,3,1,1,0,0,0,6,6,2,0,0,0,3,5,9,12,12,12,3,5,5,6,6,6,0,0,4,6,6,6,75,58,25,0,0,0,50,17,17,0,0,0,100,100,33,0,0,0,25,42,75,100,100,100,50,83,83,100,100,100,0,0,67,100,100,100,6,2,0,0,0,0,6,2,0,50,17,0,0,0,0,100,33,0,25,17,33,-29,42,67,17,42,0,83,42,83,0,50,17,83,10,6,4,83,100,67,6,6,0,50,100,0,2,0,2,17,0,33,33,0,67,67,100,33,0,0,0,3.75,4.00,3.50,2.25,1.17,3.33,83,75,67,50,42,42,25,17,0.91,0.88,0.94,1.41,1.07,1.74,42,2,0,0,3,3,0,1,0,0,1,0,0,0,2,0,2,4,1,50,50,50,25,33,17,0
Genoa CFC,Genoa,2024/2025,Italy,12,7,5,0,2,0,2,4,4,0,6,3,3,0.83,0.57,1.2,17,19,12,17,9,22,-13,31,18,13,6,3,12,10,-6,-7,120,105,150,49,53,45,2,0,2,5,4,1,5,3,2,3,1,2,46,26,20,28,16,12,42,42,41,107,68,39,53,37,16,54,31,23,155,89,66,2,1,1,6,4,2,-4,-3,-1,1,0,1,6,4,2,5,3,2,0.75,0.57,1,2.58,2.57,2.6,0.75,0.86,0.6,1.83,1.71,2,0.67,0.71,0.6,0.17,0.14,0.2,0.5,0.57,0.4,12,9,5,3,1,1,7,6,3,2,0,0,5,3,2,1,1,1,0,3,7,9,11,11,0,1,4,5,7,7,0,2,3,4,4,4,100,75,42,25,8,8,100,86,43,29,0,0,100,60,40,20,20,20,0,25,58,75,92,92,0,14,57,71,100,100,0,40,60,80,80,80,7,1,0,4,1,0,3,0,0,58,8,0,57,14,0,60,0,0,17,0,40,11,17,0,40,42,57,20,42,43,40,25,14,40,6,3,3,50,43,60,10,6,4,83,86,80,1,1,0,8,14,0,8,0,20,50,57,40,42,43,40,3.83,3.71,4.00,2.33,2.29,2.40,75,67,42,33,25,8,8,0,1.12,1.24,0.94,1.45,1.48,1.41,58,0,1,0,0,1,0,0,2,5,0,1,3,2,2,4,2,3,5,33,57,0,50,43,60,0
AC Milan,AC Milan,2024/2025,Italy,11,5,6,1,5,3,2,3,1,2,3,1,2,1.64,2,1.33,7,8,9,7,20,14,6,34,14,20,10,10,4,10,6,0,49,45,54,71,113,54,4,3,1,6,1,5,1,1,0,6,3,3,65,32,33,24,10,14,56,56,56,140,62,78,78,35,43,62,27,35,114,44,70,13,8,5,7,3,4,6,5,1,6,3,3,1,0,1,4,2,2,1.73,1.8,1.67,3.09,2.8,3.33,1.82,2,1.67,1.27,0.8,1.67,1.82,2.2,1.5,1.18,1.6,0.83,0.64,0.6,0.67,11,9,8,4,1,1,5,4,3,2,0,0,6,5,5,2,1,1,0,2,3,7,10,10,0,1,2,3,5,5,0,1,1,4,5,5,100,82,73,36,9,9,100,80,60,40,0,0,100,83,83,33,17,17,0,18,27,64,91,91,0,20,40,60,100,100,0,17,17,67,83,83,11,5,3,5,3,2,6,2,1,100,45,27,100,60,40,100,33,17,45,60,33,24,36,60,17,55,20,83,9,20,0,55,60,50,5,3,2,45,60,33,4,2,2,36,40,33,2,0,2,18,0,33,55,60,50,9,0,17,36,40,33,5.91,6.40,5.50,2.18,2,2.33,91,73,55,45,45,27,0,0,1.64,1.69,1.60,1.23,1.23,1.24,100,3,3,2,2,3,1,2,1,3,3,0,2,1,1,1,3,2,1,27,20,33,27,20,33,0
SS Lazio,Lazio,2024/2025,Italy,12,6,6,0,8,5,3,1,1,0,3,0,3,2.08,2.67,1.5,5,1,7,5,25,14,11,39,20,19,14,11,6,8,8,3,43,39,49,77,90,68,2,1,1,9,5,4,1,0,1,7,3,4,70,34,36,33,15,18,52,56,48,146,74,72,76,38,38,70,36,34,149,74,75,12,7,5,6,5,1,6,2,4,7,3,4,3,2,1,2,1,1,2,1.83,2.17,3.25,3.33,3.17,2.08,2.33,1.83,1.17,1,1.33,1.5,2,1,1,1.17,0.83,0.5,0.83,0.17,12,10,10,4,2,1,6,6,6,2,0,0,6,4,4,2,2,1,0,2,2,8,10,11,0,0,0,4,6,6,0,2,2,4,4,5,100,83,83,33,17,8,100,100,100,33,0,0,100,67,67,33,33,17,0,17,17,67,83,92,0,0,0,67,100,100,0,33,33,67,67,83,11,5,2,6,4,2,5,1,0,92,42,17,100,67,33,83,17,0,67,83,50,14,17,17,17,75,83,67,8,0,17,58,50,67,6,1,5,50,17,83,3,1,2,25,17,33,4,4,0,33,67,0,58,50,67,25,33,17,17,17,17,5.83,5.67,6.00,2.75,2.5,3.00,83,83,57,50,50,42,25,17,1.54,1.58,1.51,1.11,0.83,1.38,100,3,2,2,2,3,1,2,2,8,5,0,0,0,3,1,1,1,3,8,17,0,25,0,50,17
Atalanta Bergamasca Calcio,Atalanta,2024/2025,Italy,12,6,6,0,8,5,3,1,0,1,3,1,2,2.08,2.5,1.67,2,2,6,2,31,15,16,46,28,18,20,11,8,7,12,4,35,27,49,72,68,77,4,1,3,7,5,2,1,0,1,8,4,4,58,28,30,21,6,15,56,58,55,157,72,85,79,42,37,78,30,48,144,65,79,16,10,6,7,4,3,9,6,3,7,4,3,3,1,2,2,1,1,2,2.17,1.83,3.83,4.67,3,2.58,3.33,1.83,1.25,1.33,1.17,1.92,2.33,1.5,1.33,1.67,1,0.58,0.67,0.5,12,12,9,6,4,2,6,6,5,4,4,2,6,6,4,2,0,0,0,0,3,6,8,10,0,0,1,2,2,4,0,0,2,4,6,6,100,100,75,50,33,17,100,100,83,67,67,33,100,100,67,33,0,0,0,0,25,50,67,83,0,0,17,33,33,67,0,0,33,67,100,100,10,6,2,5,2,2,5,4,0,83,50,17,83,33,33,83,67,0,67,83,50,12,33,17,50,58,83,33,8,0,17,67,67,67,7,3,4,58,50,67,4,2,2,33,33,33,3,2,1,25,33,17,58,67,50,25,17,33,17,17,17,4.83,4.67,5.00,1.75,1,2.50,75,42,25,17,8,0,0,0,1.73,1.73,1.73,1.15,1.08,1.22,142,4,2,4,3,5,5,2,2,4,2,1,0,2,6,3,0,0,1,8,0,17,25,17,33,0
